word,def,syn,ant,example
abandon,To leave someone or something behind completely.,desert; forsake; leave,retain; keep; continue,The sailors had to abandon the damaged ship.
abundance,A very large amount of something; more than enough.,surplus; wealth; profusion; plenty,lack; shortage; scarcity,There was an abundance of cake at the birthday party.
affable,"Friendly, pleasant, and easy to get along with.",gentle; sociable; friendly; amiable,nasty; rude; unfriendly; unpleasant,"Henry, an affable child, always included anyone who was being left out of the conversation."
antiquity,Ancient times; or an object that has survived from ancient times.,ancient times; ancient past; relic,modernity; present day,The ancient Greek vase was the museum's most precious antiquity.
arduous,"Difficult, tiring, and requiring a lot of effort.",strenuous; hard; gruelling,facile; relaxing; effortless,Building a brick wall is an arduous task.
assiduous,"Hard-working, careful, and showing persistent effort.",industrious; diligent; hardworking,unproductive; inactive; lazy,Jenny was an assiduous candidate during her election campaign for school captain.
avowed,"Openly stated, declared, or admitted; publicly promised or acknowledged.",affirmed; admitted; professed; declared,denied; disputed; disavowed,The boy's avowed ambition was to become an excellent mathematician.
barren,Unable to produce plants or crops; empty and unproductive.,infertile; unproductive; desolate,fertile; productive; fruitful,Very little could grow on the barren land.
belligerent,"Hostile, aggressive, and eager to argue or fight.",aggressive; hostile; combative,peaceful; friendly; cooperative,The belligerent man began shouting at everyone in the room.
besieged,Surrounded by enemies in an attempt to capture a place; also overwhelmed by demands or problems.,surrounded; blockaded; overwhelmed,liberated; freed; relieved,The besieged city was surrounded by enemy soldiers.
bewildered,Very confused and unable to understand what is happening.,confused; puzzled; baffled,certain; clear-headed; confident,Mia looked bewildered when she saw the complicated instructions.
choreographer,A person who creates and arranges the movements and steps of a dance.,dance creator; dance director,—,The choreographer taught the dancers a new routine for the show.
composition,"Something created by arranging different parts together, especially a piece of music or writing.",creation; work; arrangement,decomposition; separation,The pianist performed a beautiful composition at the concert.
comrade,"A friend or companion, especially someone who shares the same activities, experiences, or struggles.",companion; colleague; ally,enemy; opponent; adversary,The soldier refused to leave his injured comrade behind.
conscience,The inner sense that helps a person judge whether their actions are right or wrong.,moral sense; principles; scruples,immorality; unscrupulousness,His conscience told him that he should admit that he had broken the window.
contemporary,Belonging to or happening in the present time; living at the same time as someone else.,modern; current; present-day,ancient; outdated; old-fashioned,The gallery displays contemporary British art.
conventional,Following the usual or generally accepted way of doing something.,traditional; customary; ordinary,unconventional; unusual; original,They chose a conventional design for their new house.
covet,To strongly desire something that belongs to someone else.,desire; crave; envy,reject; dislike; relinquish,He coveted his neighbour's expensive new bicycle.
coy,Shy or deliberately unwilling to reveal information or feelings.,shy; reserved; bashful,bold; open; forthright,She was coy when asked about her plans for the competition.
deceive,To make someone believe something that is not true.,trick; mislead; fool,inform; enlighten; reveal,The dishonest salesman tried to deceive his customers.
demolished,Completely destroyed or knocked down.,destroyed; flattened; wrecked,built; constructed; restored,The old factory was demolished to make room for new houses.
destitute,Extremely poor and lacking basic necessities such as food and shelter.,impoverished; penniless; needy,wealthy; affluent; prosperous,The charity provides food and shelter for destitute families.
dilapidated,Old and in very poor condition because of neglect.,run-down; ruined; decrepit,renovated; sound; well-maintained,They discovered a dilapidated cottage at the edge of the woods.
diluted,Made weaker or less concentrated by adding water or another substance.,weakened; thinned; watered-down,concentrated; strengthened; intensified,The juice was diluted with water before being served.
disarray,A state of disorder or confusion.,disorder; confusion; chaos,order; organisation; neatness,"After the children had finished playing, the room was in disarray."
disastrous,"Causing great damage, harm, or failure.",catastrophic; terrible; devastating,successful; fortunate; beneficial,The expedition had a disastrous ending when a storm destroyed their supplies.
dishevelled,"Untidy in appearance, especially one's hair or clothes.",untidy; unkempt; scruffy,neat; tidy; well-groomed,He looked dishevelled after spending the night sleeping on the train.
